table_catalog,table_schema,table_name,ordinal_position,column_name,full_data_type,is_nullable,comment
luxoft_dev,datawarehouse_gld,gold_internal_mobility_data_gras,0,type,string,YES,Free text description
luxoft_dev,datawarehouse_gld,gold_internal_mobility_data_gras,1,hrsys_rotation_id,string,YES,Unique identifier for employee rotation in HR system
luxoft_dev,datawarehouse_gld,gold_internal_mobility_data_gras,2,etl_date,timestamp,YES,Timestamp of when the data was processed by ETL
luxoft_dev,datawarehouse_gld,gold_internal_mobility_data_gras,3,etl_date2,timestamp,YES,Timestamp of data processing
luxoft_dev,datawarehouse_gld,gold_internal_mobility_data_gras,4,profile_id,string,YES,Unique identifier for the profile
luxoft_dev,datawarehouse_gld,gold_internal_mobility_data_gras,5,desired_location,string,YES,Desired job location
luxoft_dev,datawarehouse_gld,gold_internal_mobility_data_gras,6,desired_country,string,YES,Desired country of residence or operation
luxoft_dev,datawarehouse_gld,gold_internal_mobility_data_gras,7,ingest_ts,timestamp,YES,Timestamp when data was ingested
luxoft_dev,datawarehouse_gld,gold_internal_mobility_data_gras,8,ingest_ts_offset,string,YES,Timestamp offset in string format
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,0,employee_id,string,YES,Unique identifier for the employee
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,1,location_id,string,YES,Unique identifier for location as a string
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,2,location,string,YES,Location name or identifier
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,3,country,string,YES,Country name
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,4,position_id,string,YES,Unique identifier for the position
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,5,position,string,YES,Employee job title or role
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,6,role_degree_id,string,YES,Role degree identifier
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,7,role_degree,string,YES,Role degree or level
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,8,role_id,string,YES,"Unique identifier for the role, in string format"
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,9,role,string,YES,Employee role or position
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,10,specialization_id,string,YES,Unique identifier for a specialization
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,11,specialization,string,YES,Professional specialization
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,12,business_unit_id,string,YES,Unique identifier for the business unit as a string
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,13,management_unit_id,string,YES,Unique identifier for management unit
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,14,is_on_public_internal_mobility,boolean,YES,Whether the employee is on public internal mobility
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,15,is_on_any_internal_mobility,boolean,YES,Whether the individual is on any internal mobility
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,16,about_employee,string,YES,Employee information
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,17,contact_id,string,YES,Unique identifier for the contact
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,18,employee_relocation_preferences_id,string,YES,Unique identifier for employee relocation preferences
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,19,imm_relocation_preferences_id,string,YES,Immigration relocation preferences identifier
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,20,chapter_id,string,YES,Unique identifier for the chapter
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,21,job_level,int,YES,Job level identifier
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,22,contact_email,string,YES,Contact's email address
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,23,etl_date,timestamp,YES,Timestamp when data was last processed by ETL
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,24,ingest_ts,timestamp,YES,Timestamp when data was ingested
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,25,ingest_ts_offset,string,YES,Timestamp offset for data ingest in string format
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,26,contact_type,string,YES,Type of contact
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,27,full_name_eng,string,YES,Full name in English
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,28,email,string,YES,Contact email address
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,29,region,string,YES,Geographic region as a string value
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,30,business_unit_name,string,YES,Name of the business unit
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee,31,business_unit_path,string,YES,Business unit hierarchical path
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee_domain,0,employee_id,string,YES,Unique identifier for the employee
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee_domain,1,business_domain_id,string,YES,Unique identifier for the business domain as a string
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee_domain,2,domain_name,string,YES,Domain name of the entity
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee_domain,3,proficiency,int,YES,Level of proficiency measured on a numerical scale
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee_domain,4,experience_value,double,YES,Numerical value representing experience
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee_domain,5,etl_date,timestamp,YES,Timestamp of when the data was processed by ETL
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee_domain,6,ingest_ts,timestamp,YES,Timestamp when data was ingested
luxoft_dev,datawarehouse_gld,gold_luxskill_benchiq_employee_domain,7,ingest_ts_offset,string,YES,Timestamp offset in string format
