employee_id,skill_id,skill_name,proficiency,experience_value,last_used_year_value,etl_date,ingest_ts,ingest_ts_offset
d4c03006-8a2f-40e3-8f69-a5f600e53fa3,7cb1040c-7e67-4b4c-85af-abf7009b9070,Push Notifications,3,2.0,,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
44d93426-f89b-469b-8533-93a9d49b8785,ea391fb4-180e-474f-9f15-a9b600f57f4a,Microsoft SQL Server,3,1.0,2017,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
7c2a1da0-716e-49b5-93c2-01f91c48710f,bdd7fad0-dde5-42a2-ba99-a9b600f58001,VMware,3,4.0,2020,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
7c2a1da0-716e-49b5-93c2-01f91c48710f,234d0b71-7a65-4c29-a7e9-a9b600f58bc2,SCCM,3,3.0,2019,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
7c2a1da0-716e-49b5-93c2-01f91c48710f,efa1a164-3c0b-42e9-9814-aae3013a3c53,Confluence administration,2,3.0,2019,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
7c2a1da0-716e-49b5-93c2-01f91c48710f,971e2e33-385d-4f9a-8c2a-c4b5bc9ca7fb,Microsoft Office SharePoint Portal Server,2,3.0,2019,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
7c2a1da0-716e-49b5-93c2-01f91c48710f,39adacc7-5b40-4ee0-b100-a9b600f5a793,Administrative Support,3,3.0,2019,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
7c2a1da0-716e-49b5-93c2-01f91c48710f,cc360678-2ec2-4f26-a518-a9b600f58746,System Administration,3,3.0,2019,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
7c2a1da0-716e-49b5-93c2-01f91c48710f,a8996ba0-bcb1-4e87-994f-aae30139efb7,Atlassian Jira Administration,2,3.0,2019,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
7c2a1da0-716e-49b5-93c2-01f91c48710f,0b81cfdb-a154-4661-9204-9f70a04ca5cd,Active Directory,3,4.0,2020,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
7c2a1da0-716e-49b5-93c2-01f91c48710f,7cc0035a-47be-4751-9fd8-a9b600f587d7,Microsoft Windows 10,3,1.0,2020,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
7c2a1da0-716e-49b5-93c2-01f91c48710f,c7dcc9cd-1ba2-42f6-a654-7fb3cefe9627,Windows Services,3,1.0,2020,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
7c2a1da0-716e-49b5-93c2-01f91c48710f,b4a3cbfc-6c69-4fcd-92ea-a9b600f585ae,Microsoft Windows Server (201x series),3,4.0,2020,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
91161a32-5aba-4440-9b5a-5f5664893096,0a84a61f-f2dc-47af-9140-44546007f3b3,Microsoft Azure Cloud Platform,4,4.0,,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
cfc43645-2006-4e66-b327-a7c500881bfe,90212d54-4b02-4763-96fd-ba2376c031e5,C++/CLI,3,3.0,,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
cfc43645-2006-4e66-b327-a7c500881bfe,5059919a-1e08-4faf-b53d-88aa7e1c7565,Algorithms,3,3.0,,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
cfc43645-2006-4e66-b327-a7c500881bfe,b144cb31-ada8-469d-8171-ab58011267fe,Buildroot,3,4.0,2017,2026-05-04 11:32:00.197000,2026-05-05 11:47:03.399722,UTC-4
