udp_update_utc_ts,udp_create_utc_ts,source_create_utc_ts,source_update_utc_ts,source_file_nm,source_file_ts,resource_id,assignment_id,resource_request_id,hourly_bill_rate_usd_amt,hourly_cost_rate_usd_amt,allctn_hrs_qty,allctn_yr_mth_id,avail_hrs_qty,allctn_fte_qty,total_monthly_bill_rate_usd_amt,total_monthly_cost_rate_usd_amt
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 08:10:51,2025-12-13 09:14:37,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo4ptQAB,aDp2J00000009HKSAY,,0.00,76.31,4.600000000000000000,202501,112.000000,0.041,0.00,351.03
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 08:13:31,2025-12-13 09:14:37,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo4puQAB,aDp2J00000009HUSAY,,0.00,0.03,0E-18,202711,165.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 08:15:32,2025-12-13 09:14:37,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo4sIQAR,aDp2J00000009HXSAY,,0.00,52.86,0E-18,202605,168.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 08:26:26,2025-12-13 09:14:37,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo4zDQAR,aDp2J00000009ICSAY,,0.00,0.01,0E-18,202702,160.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 08:32:14,2025-12-13 09:14:42,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo4yeQAB,aDp2J00000009IkSAI,,0.00,84.00,0E-18,202707,176.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 08:32:14,2025-12-13 09:14:42,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo4raQAB,aDp2J00000009IlSAI,,0.00,88.77,0E-18,202504,176.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 08:33:19,2025-12-13 09:14:42,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo527QAB,aDp2J00000009ImSAI,,0.00,109.64,0E-18,202510,184.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 08:35:10,2025-12-13 09:14:42,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo51UQAR,aDp2J00000009IpSAI,,0.00,88.83,0E-18,202406,160.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 08:45:03,2025-12-13 09:14:42,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo58zQAB,aDp2J00000009JGSAY,,0.00,26.23,0E-18,202707,165.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 08:45:03,2025-12-13 09:14:42,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo58zQAB,aDp2J00000009JHSAY,,0.00,26.23,0E-18,202606,165.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 08:45:44,2025-12-13 09:14:42,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo4zVQAR,aDp2J00000009JKSAY,,0.00,77.27,0E-18,202512,184.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 08:49:09,2025-12-13 09:14:42,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo49yQAB,aDp2J00000009JUSAY,,0.00,82.92,0E-18,202407,174.800000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 08:53:58,2025-12-13 09:14:42,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo55VQAR,aDp2J00000009JeSAI,,0.00,61.27,0E-18,202408,176.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 08:55:00,2025-12-13 09:14:42,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo4xTQAR,aDp2J00000009JfSAI,,0.00,70.57,0E-18,202709,144.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 09:02:45,2025-12-13 09:14:42,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo4x9QAB,aDp2J00000009JySAI,,0.00,57.52,0E-18,202412,176.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 09:10:27,2025-12-13 09:14:42,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo52hQAB,aDp2J00000009KHSAY,,0.00,25.57,0E-18,202410,184.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 09:10:27,2025-12-13 09:14:42,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo52hQAB,aDp2J00000009KHSAY,,0.00,25.57,0E-18,202705,168.000000,0.000,0.00,0.00
2026-04-24 07:46:37.541659,2026-04-24 06:18:10.039000,2020-04-27 09:12:36,2025-12-13 09:14:42,pse__assignment__c_20260424T061458Z_1.parquet,2026-04-24 06:14:58,0032J00003Xo42gQAB,aDp2J00000009KLSAY,,0.00,117.29,0E-18,202611,159.600000,0.000,0.00,0.00
